전철역코드,전철역명,호선,외부코드
1249,대곡,K,K322
1251,서울(경의선),K,P313
1252,신촌(경의선),K,P312
1262,공덕,K,K312
1263,서강대,K,K313
1264,홍대입구,K,K314
1265,가좌,K,K315
1266,디지털미디어시티,K,K316
1267,수색,K,K317
1268,화전,K,K318
1270,행신,K,K320
1271,능곡,K,K321
1272,곡산,K,K323
1273,백마,K,K324
4210,청라국제도시,A,A071
2715,노원,7,713
2716,중계,7,714
2717,하계,7,715
2718,공릉,7,716
2719,태릉입구,7,717
2720,먹골,7,718
2721,중화,7,719
2722,상봉,7,720
2723,면목,7,721
2724,사가정,7,722
2725,용마산,7,723
2726,중곡,7,724
2727,군자,7,725
2728,어린이대공원,7,726
2729,건대입구,7,727
2730,뚝섬유원지,7,728
2731,청담,7,729
2732,강남구청,7,730
2733,학동,7,731
2734,논현,7,732
2735,반포,7,733
2736,고속터미널,7,734
2737,내방,7,735
2738,총신대입구(이수),7,736
2739,남성,7,737
2740,숭실대입구,7,738
2741,상도,7,739
2742,장승배기,7,740
2743,신대방삼거리,7,741
2744,보라매,7,742
2745,신풍,7,743
2746,대림,7,744
2747,남구로,7,745
2748,가산디지털단지,7,746
2749,철산,7,747
2750,광명사거리,7,748
2751,천왕,7,749
2752,온수,7,750
2753,까치울,7,751
2754,부천종합운동장,7,752
2755,춘의,7,753
2756,신중동,7,754
2757,부천시청,7,755
2758,상동,7,756
2759,삼산체육관,7,757
2760,굴포천,7,758
2761,부평구청,7,759
2811,암사,8,810
2812,천호,8,811
2813,강동구청,8,812
2814,몽촌토성,8,813
2815,잠실,8,814
2816,석촌,8,815
2817,송파,8,816
2818,가락시장,8,817
2819,문정,8,818
2820,장지,8,819
2821,복정,8,820
2822,산성,8,821
2823,남한산성입구,8,822
2824,단대오거리,8,823
2825,신흥,8,824
2826,수진,8,825
2827,모란,8,826
3110,계양,I,I110
3111,귤현,I,I111
3112,박촌,I,I112
3113,임학,I,I113
3114,계산,I,I114
3115,경인교대입구,I,I115
3116,작전,I,I116
3117,갈산,I,I117
3118,부평구청,I,I118
3119,부평시장,I,I119
3120,부평,I,I120
3121,동수,I,I121
3122,부평삼거리,I,I122
3123,간석오거리,I,I123
3124,인천시청,I,I124
3125,예술회관,I,I125
3126,인천터미널,I,I126
3127,문학경기장,I,I127
3128,선학,I,I128
3129,신연수,I,I129
3130,원인재,I,I130
3131,동춘,I,I131
3132,동막,I,I132
3133,캠퍼스타운,I,I133
3134,테크노파크,I,I134
3135,지식정보단지,I,I135
3136,인천대입구,I,I136
3137,센트럴파크,I,I137
3138,국제업무지구,I,I138
4101,개화,9,901
4102,김포공항,9,902
4103,공항시장,9,903
4104,신방화,9,904
4105,마곡나루,9,905
4106,양천향교,9,906
4107,가양,9,907
4108,증미,9,908
4109,등촌,9,909
4110,염창,9,910
4111,신목동,9,911
4112,선유도,9,912
4113,당산,9,913
4114,국회의사당,9,914
4115,여의도,9,915
4116,샛강,9,916
4117,노량진(9호선),9,917
4118,노들,9,918
4119,흑석,9,919
4120,동작,9,920
4121,구반포,9,921
4122,신반포,9,922
4123,고속터미널,9,923
4124,사평,9,924
4125,신논현,9,925
4207,김포공항,A,A05
4208,계양,A,A06
4209,검암,A,A07
4211,운서,A,A08
4212,공항화물청사,A,A09
4213,인천국제공항,A,A10
4307,강남,S,D7
4308,양재,S,D8
4309,양재시민의숲,S,D9
4310,청계산입구,S,D10
4311,판교,S,D11
4312,정자,S,D12
